sample,concentration,use_in_fit,n_substitutions,n_variants,censored,probability escape
A-251218-duck_MHCII_015,0.15,False,0,7588,"censored to [0, 1]",0.3403
A-251218-duck_MHCII_015,0.15,False,1,13756,"censored to [0, 1]",0.3315
A-251218-duck_MHCII_015,0.15,False,2,2229,"censored to [0, 1]",0.311
A-251218-duck_MHCII_015,0.15,False,>2,228,"censored to [0, 1]",0.2694
A-251218-duck_MHCII_02,0.225,True,0,7588,"censored to [0, 1]",0.358
A-251218-duck_MHCII_02,0.225,True,1,13756,"censored to [0, 1]",0.3506
A-251218-duck_MHCII_02,0.225,True,2,2229,"censored to [0, 1]",0.3329
A-251218-duck_MHCII_02,0.225,True,>2,228,"censored to [0, 1]",0.2783
A-251218-duck_MHCII_04,0.45,False,0,7588,"censored to [0, 1]",0.3306
A-251218-duck_MHCII_04,0.45,False,1,13756,"censored to [0, 1]",0.3249
A-251218-duck_MHCII_04,0.45,False,2,2229,"censored to [0, 1]",0.3092
A-251218-duck_MHCII_04,0.45,False,>2,228,"censored to [0, 1]",0.2454
A-251218-duck_MHCII_09,0.9,True,0,7588,"censored to [0, 1]",0.2787
A-251218-duck_MHCII_09,0.9,True,1,13756,"censored to [0, 1]",0.2788
A-251218-duck_MHCII_09,0.9,True,2,2229,"censored to [0, 1]",0.2847
A-251218-duck_MHCII_09,0.9,True,>2,228,"censored to [0, 1]",0.2465
A-251218-duck_MHCII_24,24.3,False,0,7598,"censored to [0, 1]",0.02487
A-251218-duck_MHCII_24,24.3,False,1,13936,"censored to [0, 1]",0.06106
A-251218-duck_MHCII_24,24.3,False,2,2305,"censored to [0, 1]",0.1025
A-251218-duck_MHCII_24,24.3,False,>2,252,"censored to [0, 1]",0.1917
A-251218-duck_MHCII_8,8.1,True,0,7591,"censored to [0, 1]",0.0418
A-251218-duck_MHCII_8,8.1,True,1,13790,"censored to [0, 1]",0.07112
A-251218-duck_MHCII_8,8.1,True,2,2241,"censored to [0, 1]",0.102
A-251218-duck_MHCII_8,8.1,True,>2,228,"censored to [0, 1]",0.1025
A-251218-duck_MHCII_015,0.15,False,0,7588,not censored,0.3604
A-251218-duck_MHCII_015,0.15,False,1,13756,not censored,0.3596
A-251218-duck_MHCII_015,0.15,False,2,2229,not censored,0.3448
A-251218-duck_MHCII_015,0.15,False,>2,228,not censored,0.2803
A-251218-duck_MHCII_02,0.225,True,0,7588,not censored,0.38
A-251218-duck_MHCII_02,0.225,True,1,13756,not censored,0.3751
A-251218-duck_MHCII_02,0.225,True,2,2229,not censored,0.3668
A-251218-duck_MHCII_02,0.225,True,>2,228,not censored,0.2983
A-251218-duck_MHCII_04,0.45,False,0,7588,not censored,0.3502
A-251218-duck_MHCII_04,0.45,False,1,13756,not censored,0.3502
A-251218-duck_MHCII_04,0.45,False,2,2229,not censored,0.3399
A-251218-duck_MHCII_04,0.45,False,>2,228,not censored,0.2928
A-251218-duck_MHCII_09,0.9,True,0,7588,not censored,0.29
A-251218-duck_MHCII_09,0.9,True,1,13756,not censored,0.2939
A-251218-duck_MHCII_09,0.9,True,2,2229,not censored,0.3141
A-251218-duck_MHCII_09,0.9,True,>2,228,not censored,0.275
A-251218-duck_MHCII_24,24.3,False,0,7598,not censored,0.03208
A-251218-duck_MHCII_24,24.3,False,1,13936,not censored,0.1161
A-251218-duck_MHCII_24,24.3,False,2,2305,not censored,0.2471
A-251218-duck_MHCII_24,24.3,False,>2,252,not censored,0.5833
A-251218-duck_MHCII_8,8.1,True,0,7591,not censored,0.04398
A-251218-duck_MHCII_8,8.1,True,1,13790,not censored,0.08565
A-251218-duck_MHCII_8,8.1,True,2,2241,not censored,0.1337
A-251218-duck_MHCII_8,8.1,True,>2,228,not censored,0.1102
